stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,stop_timezone,wheelchair_boarding
STA-CTBRIA2,CTBRIA2,A. BRIAND,49.042992,3.39241098,0,Europe/Paris,0
STA-CTPOTER2,CTPOTER2,POTERNE,49.0446685,3.4038762,0,Europe/Paris,0
STA-NOGPAIX1,NOGPAIX1,LA PAIX,49.01857775,3.40351042,0,Europe/Paris,0
STA-CT2RIVE1,CT2RIVE1,LES DEUX RIVES,49.04038368,3.39657352,0,Europe/Paris,0
STA-CT3PIER1,CT3PIER1,TROIS PIERRES,49.05957692,3.38649911,0,Europe/Paris,0
STA-CTGUER1,CTGUER1,C. GUERIN,49.05085731,3.39087759,0,Europe/Paris,0
STA-CTZCOM2,CTZCOM2,ZONE COMMERCIALE,49.03749586,3.39618614,0,Europe/Paris,0
STA-CTMART1,CTMART1,PATIS ST MARTIN,49.04337997,3.38750845,0,Europe/Paris,0
STA-ESSFERR1,ESSFERR1,PL FERREOL,49.02997345,3.3749983,0,Europe/Paris,0
STA-ESSFOUR1,ESSFOUR1,FOURRIER,49.0297743,3.36612407,0,Europe/Paris,0
STA-CTBLANC1,CTBLANC1,BOIS BLANCHARD,49.06092382,3.39491108,0,Europe/Paris,0
STA-CTAVEU1,CTAVEU1,AV. DE L EUROPE,49.03796046,3.4013938,0,Europe/Paris,0
STA-CTGARE3,CTGARE3,GARE SNCF,49.03826014,3.40927522,0,Europe/Paris,0
STA-CTCAST1,CTCAST1,CASTEL REPOS,49.03961313,3.38654341,0,Europe/Paris,0
STA-CTCAST2,CTCAST2,CASTEL REPOS,49.03982759,3.38663036,0,Europe/Paris,0
STA-CTPBAR1,CTPBAR1,PRE DES BARRES,49.08206109,3.39388972,0,Europe/Paris,0
STA-BRAMAIR2,BRAMAIR2,BRASLES MAIRIE,49.04799705,3.42662369,0,Europe/Paris,0
STA-BSGCOQL1,BSGCOQL1,LES COQUELICOTS,49.10583146,3.40513997,0,Europe/Paris,0
STA-CTBUISS1,CTBUISS1,BUISSON,49.0513066,3.3810099,0,Europe/Paris,0
STA-ESSVALL1,ESSVALL1,LA VALLEE,49.03283676,3.37758792,0,Europe/Paris,0
STA-CTREPU2,CTREPU2,REPUBLIQUE,49.03999492,3.40735011,0,Europe/Paris,0
STA-CTGALC2,CTGALC2,GALLEGO,49.03756344,3.38297249,0,Europe/Paris,0
STA-CTMADE2,CTMADE2,MADELEINE,49.049057,3.39589215,0,Europe/Paris,0
STA-CTLAUCO2,CTLAUCO2,LAUCONNOIS,49.0639956,3.38182508,0,Europe/Paris,0
STA-CTOMOI2,CTOMOI2,OMOIS,49.08150916,3.38927635,0,Europe/Paris,0
STA-CTPETI2,CTPETI2,PETITS CHAMPS,49.04968341,3.39780133,0,Europe/Paris,0
STA-CTRACIN1,CTRACIN1,RACINE,49.04681341,3.39865582,0,Europe/Paris,0
STA-ETMNENU1,ETMNENU1,NENUPHARS,49.03086821,3.40820851,0,Europe/Paris,0
STA-CROCRO1,CROCRO1,CROGIS,49.02529763,3.34852192,0,Europe/Paris,0
STA-CTLEMAR2,CTLEMAR2,LE MARCHIS 2,49.07888884,3.38110134,0,Europe/Paris,0
STA-CTPAR1,CTPAR1,PARADIS,49.04894304,3.37767798,0,Europe/Paris,0
STA-NELDHU1,NELDHU1,LA DHUYS,49.01728723,3.42156894,0,Europe/Paris,0
STA-ESMMUGU2,ESMMUGU2,ESMMUGUET2,49.03663653,3.41433166,0,Europe/Paris,0
STA-CTOMOI1,CTOMOI1,OMOIS,49.08150709,3.38926101,0,Europe/Paris,0
STA-ESMCENT2,ESMCENT2,ESMCENTRE2,49.03452885,3.41798061,0,Europe/Paris,0
STA-MNXMON2,MNXMON2,MONNEAUX,49.0390411,3.35067965,0,Europe/Paris,0
STA-CHRMAL1,CHRMAL1,MALPEINE,49.03912696,3.42732656,0,Europe/Paris,0
STA-BRACROI2,BRACROI2,CROIX VITARD,49.04537905,3.42023215,0,Europe/Paris,0
STA-CTHOPI2,CTHOPI2,HOPITAL,49.05307009,3.4128608,0,Europe/Paris,0
STA-ESSVALL2,ESSVALL2,LA VALLEE,49.03279594,3.37769829,0,Europe/Paris,0
STA-BLMD1003,BLMD1003,D1003 BLESMES,49.03975953,3.44863726,0,Europe/Paris,0
STA-ESMJAUR1,ESMJAUR1,J. JAURES ETAMPES,49.03506969,3.42296119,0,Europe/Paris,0
STA-CTCHPT2,CTCHPT2,CHAMPUNANT,49.03685726,3.39030396,0,Europe/Paris,0
STA-CTDOUM2,CTDOUM2,PDOUMER 2,49.03978231,3.40482005,0,Europe/Paris,0
STA-ESMMAIR2,ESMMAIR2,MAIRIE ETAMPES2,49.03385875,3.41965503,0,Europe/Paris,0
STA-ESSCOL1,ESSCOL1,ESS?MES LES COLLINETTES,49.025102,3.37694533,0,Europe/Paris,0
STA-CTCEU4,CTCEU4,CARREFOUR DE L EUROPE (L4B),49.03522128,3.39174112,0,Europe/Paris,0
STA-CTHORL1,CTHORL1,HORLOGE,49.06179034,3.3924624,0,Europe/Paris,0
STA-CTCAQUA1,CTCAQUA1,CENTRE AQUATIQUE,49.06721777,3.39097411,0,Europe/Paris,0
STA-CTMAR1,CTMAR1,LES MARAIS,49.04456005,3.38198318,0,Europe/Paris,0
STA-BSGBEZT2,BSGBEZT2,BEZUET,49.08695852,3.39731508,0,Europe/Paris,0
STA-CTCOLJR1,CTCOLJR1,COLLEGE J RACINE,49.04061004,3.40128133,0,Europe/Paris,0
STA-ESMCOUV1,ESMCOUV1,COUVRECELLE,49.03665511,3.41009619,0,Europe/Paris,0
STA-CTROO1,CTROO1,ROOSEVELT,49.0435492,3.3845517,0,Europe/Paris,0
STA-ESMJAUR2,ESMJAUR2,J. JAURES ETAMPES,49.03512115,3.42270305,0,Europe/Paris,0
STA-CTGUER2,CTGUER2,C. GUERIN,49.0508553,3.39058061,0,Europe/Paris,0
STA-CTLHER1,CTLHER1,LHERMITE,49.05051762,3.4015059,0,Europe/Paris,0
STA-BRAMAIR1,BRAMAIR1,BRASLES MAIRIE,49.04799135,3.42661589,0,Europe/Paris,0
STA-CTCHPT1,CTCHPT1,CHAMPUNANT,49.03662416,3.39019182,0,Europe/Paris,0
STA-CTMADE1,CTMADE1,MADELEINE,49.04907083,3.39632375,0,Europe/Paris,0
